,year,make,model,sub_model,price,exterior_color,engine,drive_type,fuel_type,transmission
0,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$71,652",Diamond Black Crystal Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
1,2021,Jeep,Grand Cherokee,L Limited 4WD,"$47,789",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
2,2021,Nissan,Rogue,SV AWD,"$30,853",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
3,2021,Nissan,Rogue,SV AWD,"$31,246",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
4,2022,Volkswagen,Taos,S FWD,"$24,770",Platinum Gray Metallic,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
5,2021,Jeep,Grand Cherokee,L Limited 4WD,"$50,313",Baltic Gray Metallic Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
6,2021,Nissan,Rogue,SV AWD,"$31,246",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
7,2021,Jeep,Grand Cherokee,L Limited 4WD,"$51,047",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
8,2021,Nissan,Rogue,SL AWD,"$38,764",Sunset Drift Chromaflair/Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
9,2021,Nissan,Rogue,SV AWD,"$31,246",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
10,2021,Ford,Expedition,Limited 4WD,"$69,856",Agate Black Metallic,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
11,2021,Nissan,Rogue,SL AWD,"$38,050",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
12,2021,Nissan,Rogue,SL AWD,"$38,456",Scarlet Ember Tintcoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
13,2021,Nissan,Rogue,SV AWD,"$33,496",Brilliant Silver Metallic,2.5L Inline-4 Gas,AWD,Gas,Automatic
14,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$72,093",Patriot Blue Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
15,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$50,217",Granite Crystal Metallic Clearcoat,5.7L V-8 Gas,4WD,Gas,Automatic
16,2022,Volkswagen,Tiguan,SE R-Line Black FWD,"$34,578",Pure White,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
17,2021,Hyundai,Sonata,SEL,"$28,805",Hampton Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic
