,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
0,2021,Chevrolet,Suburban,LT RWD,San Antonio,TX,"8,404","$67,994",SUV,Satin Steel Metallic,Jet Black,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
1,2017,Cadillac,CTS,Premium Luxury 3.6 AWD,Phoenix,AZ,"29,342","$37,000",Sedan,Black Raven,Jet Black With Morello Red Accents,3.6L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
2,2019,Kia,Forte,LXS IVT,Bensalem,PA,"17,593","$22,395",Sedan,Clear White,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
3,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Hudson,WI,"195,205","$20,995",Pickup Truck,Shadow Black,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
4,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Pikeville,KY,"47,922","$32,988",Pickup Truck,Black,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,4,Rental Use,True
5,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Lubbock,TX,"24,553","$57,899",Pickup Truck,White Platinum Metallic Tri-Coat,Medium Light Camel,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
6,2015,Nissan,Altima,2.5 S,Lubbock,TX,"119,901","$11,785",Sedan,Super Black,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
7,2015,Nissan,Altima,2.5 S,Tempe,AZ,"92,366","$10,995",Sedan,White,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Mixed Use,True
8,2018,Toyota,RAV4,XLE FWD,Ocala,FL,"33,633","$21,977",SUV,Silver Sky Metallic,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Personal Use,True
9,2018,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,Austin,TX,"159,889","$25,950",Pickup Truck,Silver Ice Metallic,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
10,2017,Ford,Super Duty F-250,King Ranch Crew Cab 6.75' Bed 4WD,Columbus,TX,"127,131","$45,391",Pickup Truck,White Platinum Metallic Tri-Coat,Java,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
11,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lindon,UT,"45,891","$30,500",Pickup Truck,Silver,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Rental Use,True
12,2019,Chevrolet,Silverado 1500 LD,LT with 1LT Double Cab Standard Box 4WD,Caledonia,MI,"116,180","$24,997",Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
13,2017,Ford,Fusion,SE FWD,Georgetown,TX,"108,861","$12,313",Sedan,Oxford White,Unknown,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,3,Fleet Use,True
14,2018,Dodge,Charger,SXT Plus RWD,El Paso,TX,"91,900","$20,465",Sedan,Octane Red Pearlcoat,Black,3.6L V-6 Gas,RWD,Gas,Automatic,1,Clean,3,Rental Use,True
15,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Brownsville,TN,"110,104","$28,200",Pickup Truck,Blue,Unknown,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,3,Fleet Use,True
16,2020,Toyota,Corolla,LE CVT,Vista,CA,"64,386","$17,299",Sedan,Super White,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Rental Use,True
17,2018,Subaru,Outback,2.5i Premium,Trenton,NJ,"48,822","$19,500",SUV,Crystal White Pearl,Slate Black,2.5L Flat-4 Gas,AWD,Gas,Automatic,1,Clean,3,Personal Use,True
18,2019,Honda,Civic,LX Sedan CVT,Fullerton,CA,"24,859","$17,499",Sedan,Crystal Black Pearl,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
19,2016,Toyota,4Runner,SR5 V6 RWD,El Paso,TX,"192,515","$19,700",SUV,Magnetic Gray Metallic,Black/Graphite,4.0L V-6 Gas,RWD,Gas,Automatic,1,Clean,1,Personal Use,True
20,2018,Nissan,Sentra,SV CVT,San Diego,CA,"108,158","$10,995",Sedan,Brilliant Silver,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Fleet Use,True
21,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Blackfoot,ID,"121,374","$26,979",Pickup Truck,Magnetic Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
22,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Indianapolis,IN,"109,353","$27,491",Pickup Truck,Silver,Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
23,2016,Nissan,Altima,2.5 S,San Antonio,TX,"110,784","$10,900",Sedan,Cayenne Red,Beige,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Fleet Use,True
24,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Greeley,CO,"139,323","$24,995",Pickup Truck,Blue,Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
25,2018,Chevrolet,Equinox,LT with 1LT FWD,Savannah,GA,"161,016","$13,995",SUV,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
26,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Santa Fe,NM,"56,708","$31,300",Pickup Truck,Black,Jet Black,4.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
27,2019,Nissan,Sentra,SV CVT,Los Angeles,CA,"40,000","$12,850",Sedan,Gun Metallic,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,2,Fleet Use,True
